d3mIndex,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,class
45,-1.0,93.0,110.0,190.9,70.3,58.7,3750.0,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,
47,-1.0,93.0,115.6,202.6,71.7,56.3,3770.0,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,
51,2.0,161.0,93.7,157.3,64.4,50.8,2004.0,92.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,
53,3.0,153.0,96.3,173.0,65.4,49.4,2370.0,110.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,
55,1.0,125.0,96.3,172.4,65.4,51.6,2365.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,
56,1.0,125.0,96.3,172.4,65.4,51.6,2405.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,
60,1.0,128.0,94.5,165.3,63.8,54.5,2017.0,103.0,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,
61,1.0,128.0,94.5,165.3,63.8,54.5,1918.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,
62,1.0,122.0,94.5,165.3,63.8,54.5,1938.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,
64,1.0,128.0,94.5,165.3,63.8,54.5,1951.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,
65,1.0,128.0,94.5,165.6,63.8,53.3,2028.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,
66,1.0,122.0,94.5,165.3,63.8,54.5,1971.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,
67,1.0,103.0,94.5,170.2,63.8,53.5,2037.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,
68,2.0,168.0,95.1,162.4,63.8,53.3,2008.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,
69,0.0,106.0,97.2,173.4,65.2,54.7,2324.0,120.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,
73,0.0,108.0,100.4,184.6,66.5,55.1,3060.0,181.0,3.43,3.27,9.0,152.0,5200.0,19.0,25.0,
75,3.0,194.0,91.3,170.7,67.9,49.7,3139.0,181.0,3.43,3.27,7.8,200.0,5200.0,17.0,23.0,
76,1.0,231.0,99.2,178.5,67.9,49.7,3139.0,181.0,3.43,3.27,9.0,160.0,5200.0,19.0,25.0,
78,0.0,161.0,107.9,186.7,68.4,56.7,3197.0,152.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,
79,0.0,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,3.46,2.19,8.4,95.0,5000.0,19.0,24.0,
81,0.0,161.0,107.9,186.7,68.4,56.7,3075.0,120.0,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,
82,0.0,161.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,
84,1.0,119.0,93.7,157.3,63.8,50.8,1918.0,90.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,
85,1.0,119.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,
86,1.0,154.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,
90,3.0,186.0,94.5,168.9,68.3,50.2,2778.0,151.0,3.94,3.11,9.5,143.0,5500.0,19.0,27.0,
93,3.0,150.0,99.1,186.6,66.5,56.1,2707.0,121.0,2.54,2.07,9.3,110.0,5250.0,21.0,28.0,
94,2.0,104.0,99.1,186.6,66.5,56.1,2758.0,121.0,3.54,3.07,9.3,110.0,5250.0,21.0,28.0,
95,3.0,150.0,99.1,186.6,66.5,56.1,2808.0,121.0,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,
96,2.0,104.0,99.1,186.6,66.5,56.1,2847.0,121.0,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,
97,2.0,83.0,93.7,156.9,63.4,53.7,2050.0,97.0,3.62,2.36,9.0,69.0,4900.0,31.0,36.0,
98,2.0,83.0,93.7,157.9,63.6,53.7,2120.0,108.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,
100,0.0,102.0,97.2,172.0,65.4,52.5,2145.0,108.0,3.62,2.64,9.5,82.0,4800.0,32.0,37.0,
101,0.0,102.0,97.2,172.0,65.4,52.5,2190.0,108.0,3.62,2.64,9.5,82.0,4400.0,28.0,33.0,
104,0.0,102.0,97.0,172.0,65.4,54.3,2510.0,108.0,3.62,2.64,7.7,111.0,4800.0,24.0,29.0,
105,0.0,89.0,97.0,173.5,65.4,53.0,2290.0,108.0,3.62,2.64,9.0,82.0,4800.0,28.0,32.0,
108,0.0,85.0,96.9,173.6,65.4,54.9,2650.0,108.0,3.62,2.64,7.7,111.0,4800.0,23.0,23.0,
109,1.0,87.0,95.7,158.7,63.6,54.5,1985.0,92.0,3.05,3.03,9.0,62.0,4800.0,35.0,39.0,
111,1.0,74.0,95.7,158.7,63.6,54.5,2015.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,
112,0.0,77.0,95.7,169.7,63.6,59.1,2280.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,37.0,
114,0.0,91.0,95.7,169.7,63.6,59.1,3110.0,92.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,
115,0.0,91.0,95.7,166.3,64.4,53.0,2081.0,98.0,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,
117,0.0,91.0,95.7,166.3,64.4,53.0,2275.0,110.0,3.27,3.35,22.5,56.0,4500.0,34.0,36.0,
118,0.0,91.0,95.7,166.3,64.4,52.8,2275.0,110.0,3.27,3.35,22.5,56.0,4500.0,38.0,47.0,
119,0.0,91.0,95.7,166.3,64.4,53.0,2094.0,98.0,3.19,3.03,9.0,70.0,4800.0,38.0,47.0,
123,1.0,168.0,94.5,168.7,64.0,52.6,2204.0,98.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,
124,1.0,168.0,94.5,168.7,64.0,52.6,2265.0,98.0,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,
125,1.0,168.0,94.5,168.7,64.0,52.6,2300.0,98.0,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,
126,2.0,134.0,98.4,176.2,65.6,52.0,2540.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,
127,2.0,134.0,98.4,176.2,65.6,52.0,2536.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,
128,2.0,134.0,98.4,176.2,65.6,52.0,2551.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,
131,2.0,134.0,98.4,176.2,65.6,53.0,2975.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,
133,-1.0,65.0,102.4,175.6,66.5,54.9,2480.0,110.0,3.27,3.35,22.5,73.0,4500.0,30.0,33.0,
134,-1.0,65.0,102.4,175.6,66.5,53.9,2414.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,
135,-1.0,65.0,102.4,175.6,66.5,54.9,2414.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,
137,3.0,197.0,102.9,183.5,67.7,52.0,2976.0,171.0,3.27,3.35,9.3,161.0,5200.0,20.0,24.0,
138,3.0,197.0,102.9,183.5,67.7,52.0,3016.0,171.0,3.27,3.35,9.3,161.0,5200.0,19.0,24.0,
140,2.0,122.0,97.3,171.7,65.5,55.7,2261.0,97.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,
141,2.0,122.0,97.3,171.7,65.5,55.7,2209.0,109.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,
142,2.0,94.0,97.3,171.7,65.5,55.7,2264.0,97.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,
145,2.0,94.0,97.3,171.7,65.5,55.7,2319.0,97.0,3.01,3.4,23.0,68.0,4500.0,37.0,42.0,
146,2.0,94.0,97.3,171.7,65.5,55.7,2300.0,109.0,3.19,3.4,10.0,100.0,5500.0,26.0,32.0,
147,3.0,256.0,94.5,165.7,64.0,51.4,2221.0,109.0,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,
148,-2.0,103.0,104.3,188.8,67.2,56.2,2912.0,141.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,
150,-2.0,103.0,104.3,188.8,67.2,56.2,2935.0,141.0,3.78,3.15,9.5,114.0,5400.0,24.0,28.0,
151,-1.0,74.0,104.3,188.8,67.2,57.5,3042.0,141.0,3.78,3.15,9.5,114.0,5400.0,24.0,28.0,
152,-2.0,103.0,104.3,188.8,67.2,56.2,3045.0,130.0,3.62,3.15,7.5,162.0,5100.0,17.0,22.0,
154,-1.0,95.0,109.1,188.8,68.9,55.5,2952.0,141.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,
155,-1.0,95.0,109.1,188.8,68.8,55.5,3049.0,141.0,3.78,3.15,8.7,160.0,5300.0,19.0,25.0,
157,-1.0,95.0,109.1,188.8,68.9,55.5,3217.0,145.0,3.01,3.4,23.0,106.0,4800.0,26.0,27.0,
