d3mIndex,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,Class
23,0.003906,0.001953,0.03125,0.011719,0.037109,0.001953,0.042969,0.0,0.009766,0.013672,0.007812,0.023438,0.007812,0.0,0.029297,0.0,0.003906,0.003906,0.001953,0.007812,0.027344,0.007812,0.0,0.011719,0.017578,0.039062,0.005859,0.023438,0.003906,0.011719,0.025391,0.029297,0.003906,0.0,0.003906,0.009766,0.023438,0.056641,0.025391,0.021484,0.009766,0.001953,0.017578,0.025391,0.001953,0.023438,0.050781,0.058594,0.007812,0.025391,0.011719,0.0,0.037109,0.019531,0.054688,0.015625,0.007812,0.0,0.015625,0.001953,0.007812,0.011719,0.003906,0.001953,13
24,0.001953,0.0,0.017578,0.013672,0.027344,0.0,0.009766,0.0,0.007812,0.013672,0.001953,0.019531,0.003906,0.005859,0.039062,0.0,0.011719,0.005859,0.005859,0.011719,0.046875,0.017578,0.0,0.011719,0.015625,0.027344,0.017578,0.021484,0.0,0.021484,0.019531,0.029297,0.001953,0.0,0.0,0.001953,0.007812,0.048828,0.033203,0.023438,0.027344,0.009766,0.021484,0.037109,0.001953,0.029297,0.050781,0.072266,0.005859,0.015625,0.003906,0.0,0.037109,0.021484,0.046875,0.023438,0.015625,0.001953,0.017578,0.003906,0.0,0.001953,0.005859,0.005859,13
25,0.001953,0.0,0.011719,0.013672,0.033203,0.0,0.037109,0.0,0.007812,0.021484,0.003906,0.027344,0.001953,0.001953,0.035156,0.0,0.007812,0.003906,0.003906,0.005859,0.03125,0.023438,0.0,0.015625,0.015625,0.029297,0.005859,0.03125,0.0,0.039062,0.025391,0.03125,0.001953,0.0,0.001953,0.001953,0.009766,0.042969,0.035156,0.017578,0.007812,0.005859,0.007812,0.03125,0.005859,0.019531,0.039062,0.064453,0.023438,0.025391,0.001953,0.009766,0.039062,0.027344,0.046875,0.023438,0.009766,0.0,0.017578,0.005859,0.0,0.001953,0.007812,0.0,13
26,0.0,0.0,0.021484,0.015625,0.041016,0.0,0.048828,0.0,0.009766,0.009766,0.001953,0.019531,0.001953,0.001953,0.037109,0.0,0.011719,0.001953,0.005859,0.011719,0.027344,0.013672,0.0,0.017578,0.003906,0.025391,0.005859,0.027344,0.007812,0.023438,0.025391,0.013672,0.005859,0.003906,0.007812,0.003906,0.015625,0.058594,0.033203,0.019531,0.017578,0.003906,0.011719,0.027344,0.003906,0.029297,0.044922,0.046875,0.007812,0.003906,0.0,0.003906,0.060547,0.019531,0.066406,0.019531,0.021484,0.003906,0.015625,0.003906,0.0,0.001953,0.003906,0.001953,13
27,0.005859,0.001953,0.005859,0.019531,0.041016,0.0,0.027344,0.0,0.005859,0.017578,0.0,0.021484,0.0,0.003906,0.037109,0.0,0.009766,0.0,0.007812,0.009766,0.033203,0.023438,0.0,0.011719,0.011719,0.027344,0.009766,0.019531,0.003906,0.021484,0.033203,0.023438,0.009766,0.0,0.007812,0.0,0.003906,0.042969,0.042969,0.035156,0.015625,0.005859,0.013672,0.035156,0.009766,0.033203,0.042969,0.060547,0.001953,0.023438,0.0,0.0,0.058594,0.027344,0.042969,0.021484,0.005859,0.003906,0.005859,0.005859,0.0,0.001953,0.005859,0.001953,13
28,0.0,0.001953,0.015625,0.013672,0.029297,0.001953,0.052734,0.0,0.007812,0.025391,0.001953,0.015625,0.003906,0.001953,0.019531,0.0,0.013672,0.0,0.015625,0.001953,0.019531,0.019531,0.0,0.019531,0.009766,0.044922,0.007812,0.041016,0.003906,0.037109,0.03125,0.019531,0.009766,0.003906,0.007812,0.003906,0.009766,0.052734,0.021484,0.011719,0.009766,0.005859,0.007812,0.035156,0.015625,0.019531,0.044922,0.048828,0.013672,0.011719,0.001953,0.001953,0.039062,0.027344,0.054688,0.017578,0.011719,0.007812,0.009766,0.005859,0.0,0.005859,0.0,0.005859,13
29,0.0,0.0,0.019531,0.015625,0.041016,0.003906,0.021484,0.001953,0.013672,0.005859,0.0,0.023438,0.003906,0.005859,0.050781,0.0,0.013672,0.005859,0.007812,0.007812,0.035156,0.023438,0.001953,0.009766,0.011719,0.029297,0.011719,0.017578,0.003906,0.03125,0.03125,0.033203,0.005859,0.005859,0.0,0.003906,0.021484,0.046875,0.035156,0.017578,0.023438,0.003906,0.007812,0.033203,0.001953,0.039062,0.048828,0.060547,0.015625,0.015625,0.003906,0.0,0.039062,0.009766,0.023438,0.017578,0.009766,0.001953,0.009766,0.007812,0.003906,0.001953,0.001953,0.0,13
30,0.0,0.001953,0.015625,0.011719,0.033203,0.003906,0.021484,0.0,0.009766,0.025391,0.003906,0.023438,0.001953,0.001953,0.046875,0.0,0.015625,0.0,0.005859,0.015625,0.044922,0.017578,0.0,0.011719,0.021484,0.033203,0.009766,0.023438,0.005859,0.033203,0.025391,0.019531,0.007812,0.0,0.005859,0.003906,0.007812,0.052734,0.042969,0.021484,0.013672,0.007812,0.011719,0.017578,0.001953,0.017578,0.044922,0.044922,0.015625,0.021484,0.0,0.001953,0.048828,0.029297,0.021484,0.013672,0.017578,0.001953,0.011719,0.005859,0.005859,0.007812,0.005859,0.003906,13
31,0.001953,0.001953,0.013672,0.011719,0.042969,0.0,0.021484,0.0,0.009766,0.011719,0.003906,0.017578,0.0,0.003906,0.035156,0.0,0.011719,0.001953,0.001953,0.011719,0.037109,0.023438,0.0,0.001953,0.015625,0.044922,0.009766,0.046875,0.013672,0.03125,0.029297,0.019531,0.007812,0.0,0.001953,0.003906,0.005859,0.052734,0.039062,0.021484,0.007812,0.009766,0.007812,0.025391,0.005859,0.023438,0.052734,0.070312,0.015625,0.013672,0.0,0.003906,0.035156,0.015625,0.042969,0.021484,0.007812,0.001953,0.011719,0.005859,0.0,0.005859,0.001953,0.003906,13
32,0.0,0.0,0.0,0.007812,0.027344,0.0,0.001953,0.0,0.007812,0.001953,0.0,0.029297,0.007812,0.035156,0.029297,0.0,0.011719,0.011719,0.041016,0.005859,0.001953,0.017578,0.017578,0.033203,0.042969,0.009766,0.039062,0.011719,0.001953,0.009766,0.029297,0.060547,0.009766,0.0,0.0,0.005859,0.0,0.003906,0.015625,0.017578,0.046875,0.005859,0.029297,0.013672,0.011719,0.023438,0.007812,0.017578,0.035156,0.001953,0.0,0.03125,0.033203,0.050781,0.001953,0.003906,0.001953,0.003906,0.005859,0.048828,0.0,0.050781,0.0,0.027344,24
33,0.0,0.0,0.0,0.009766,0.017578,0.0,0.001953,0.0,0.001953,0.005859,0.003906,0.021484,0.001953,0.042969,0.037109,0.0,0.007812,0.003906,0.021484,0.001953,0.007812,0.029297,0.005859,0.046875,0.037109,0.015625,0.050781,0.009766,0.005859,0.011719,0.025391,0.058594,0.007812,0.0,0.001953,0.001953,0.001953,0.007812,0.037109,0.017578,0.039062,0.007812,0.029297,0.013672,0.007812,0.027344,0.007812,0.027344,0.048828,0.001953,0.0,0.029297,0.044922,0.019531,0.017578,0.007812,0.007812,0.005859,0.007812,0.03125,0.0,0.041016,0.0,0.015625,24
34,0.001953,0.005859,0.005859,0.017578,0.035156,0.0,0.019531,0.0,0.013672,0.007812,0.015625,0.011719,0.009766,0.021484,0.013672,0.0,0.021484,0.017578,0.041016,0.009766,0.0,0.009766,0.0,0.039062,0.023438,0.039062,0.019531,0.025391,0.011719,0.011719,0.050781,0.082031,0.003906,0.003906,0.0,0.0,0.003906,0.005859,0.025391,0.021484,0.039062,0.013672,0.025391,0.017578,0.019531,0.021484,0.005859,0.007812,0.015625,0.0,0.001953,0.009766,0.041016,0.037109,0.011719,0.003906,0.003906,0.009766,0.007812,0.041016,0.001953,0.011719,0.0,0.005859,24
35,0.0,0.0,0.0,0.027344,0.033203,0.0,0.023438,0.0,0.005859,0.005859,0.007812,0.015625,0.003906,0.025391,0.03125,0.0,0.011719,0.001953,0.025391,0.007812,0.007812,0.009766,0.001953,0.046875,0.023438,0.027344,0.033203,0.005859,0.011719,0.005859,0.044922,0.060547,0.003906,0.0,0.0,0.009766,0.0,0.003906,0.033203,0.005859,0.035156,0.021484,0.042969,0.005859,0.011719,0.029297,0.009766,0.013672,0.041016,0.0,0.003906,0.021484,0.056641,0.03125,0.009766,0.005859,0.0,0.007812,0.005859,0.025391,0.003906,0.041016,0.0,0.013672,24
36,0.0,0.0,0.0,0.021484,0.033203,0.0,0.005859,0.0,0.0,0.003906,0.001953,0.019531,0.0,0.029297,0.03125,0.0,0.011719,0.009766,0.041016,0.003906,0.005859,0.021484,0.003906,0.048828,0.044922,0.017578,0.044922,0.023438,0.003906,0.005859,0.025391,0.064453,0.011719,0.0,0.001953,0.001953,0.003906,0.009766,0.029297,0.017578,0.042969,0.021484,0.042969,0.015625,0.019531,0.017578,0.013672,0.023438,0.023438,0.001953,0.0,0.017578,0.044922,0.017578,0.017578,0.001953,0.0,0.011719,0.005859,0.03125,0.0,0.027344,0.0,0.001953,24
37,0.0,0.0,0.0,0.025391,0.041016,0.0,0.015625,0.0,0.0,0.007812,0.0,0.019531,0.0,0.035156,0.03125,0.0,0.0,0.001953,0.019531,0.011719,0.003906,0.021484,0.005859,0.048828,0.025391,0.017578,0.033203,0.013672,0.001953,0.013672,0.033203,0.054688,0.009766,0.0,0.0,0.0,0.001953,0.003906,0.027344,0.007812,0.039062,0.017578,0.042969,0.017578,0.005859,0.03125,0.007812,0.023438,0.033203,0.0,0.0,0.021484,0.060547,0.037109,0.021484,0.003906,0.001953,0.009766,0.005859,0.027344,0.0,0.044922,0.0,0.013672,24
38,0.0,0.0,0.003906,0.011719,0.029297,0.0,0.007812,0.0,0.005859,0.001953,0.0,0.013672,0.0,0.019531,0.035156,0.0,0.007812,0.001953,0.037109,0.005859,0.007812,0.021484,0.011719,0.03125,0.03125,0.029297,0.033203,0.007812,0.0,0.017578,0.037109,0.070312,0.013672,0.005859,0.0,0.0,0.007812,0.001953,0.019531,0.011719,0.054688,0.015625,0.039062,0.019531,0.0,0.027344,0.007812,0.023438,0.054688,0.0,0.0,0.023438,0.058594,0.042969,0.019531,0.007812,0.001953,0.0,0.001953,0.009766,0.001953,0.035156,0.003906,0.009766,24
39,0.0,0.0,0.0,0.007812,0.029297,0.0,0.009766,0.0,0.017578,0.0,0.0,0.023438,0.005859,0.021484,0.023438,0.0,0.005859,0.011719,0.052734,0.003906,0.005859,0.011719,0.005859,0.050781,0.03125,0.013672,0.041016,0.019531,0.007812,0.007812,0.042969,0.044922,0.011719,0.0,0.0,0.0,0.001953,0.005859,0.03125,0.007812,0.056641,0.019531,0.025391,0.013672,0.005859,0.029297,0.003906,0.019531,0.052734,0.003906,0.0,0.011719,0.039062,0.03125,0.021484,0.003906,0.0,0.005859,0.001953,0.041016,0.0,0.039062,0.0,0.019531,24
40,0.0,0.0,0.0,0.011719,0.041016,0.0,0.007812,0.0,0.0,0.011719,0.0,0.017578,0.0,0.021484,0.021484,0.0,0.023438,0.0,0.027344,0.0,0.009766,0.009766,0.005859,0.046875,0.039062,0.023438,0.011719,0.019531,0.003906,0.017578,0.041016,0.050781,0.009766,0.0,0.005859,0.001953,0.0,0.0,0.029297,0.005859,0.072266,0.019531,0.050781,0.013672,0.005859,0.027344,0.007812,0.021484,0.042969,0.001953,0.0,0.019531,0.060547,0.027344,0.005859,0.007812,0.005859,0.0,0.013672,0.033203,0.0,0.041016,0.001953,0.003906,24
41,0.0,0.0,0.0,0.021484,0.035156,0.0,0.007812,0.0,0.003906,0.001953,0.0,0.025391,0.0,0.023438,0.037109,0.0,0.015625,0.001953,0.017578,0.003906,0.003906,0.011719,0.015625,0.041016,0.023438,0.015625,0.03125,0.03125,0.001953,0.009766,0.033203,0.066406,0.013672,0.0,0.0,0.007812,0.0,0.013672,0.03125,0.025391,0.033203,0.001953,0.046875,0.011719,0.003906,0.021484,0.009766,0.03125,0.027344,0.001953,0.0,0.015625,0.060547,0.023438,0.013672,0.001953,0.001953,0.005859,0.005859,0.037109,0.0,0.048828,0.0,0.023438,24
42,0.0,0.0,0.001953,0.017578,0.035156,0.0,0.005859,0.0,0.007812,0.001953,0.009766,0.011719,0.001953,0.03125,0.023438,0.0,0.009766,0.003906,0.023438,0.011719,0.003906,0.015625,0.013672,0.048828,0.044922,0.021484,0.029297,0.019531,0.005859,0.011719,0.037109,0.072266,0.007812,0.0,0.0,0.005859,0.003906,0.003906,0.041016,0.013672,0.048828,0.019531,0.029297,0.013672,0.009766,0.015625,0.005859,0.015625,0.041016,0.001953,0.0,0.013672,0.041016,0.037109,0.023438,0.007812,0.003906,0.007812,0.0,0.021484,0.0,0.03125,0.0,0.013672,24
